age,species
38.6,African elephant  
4.5,African giant pouched rat
14,Arctic Fox  
-999,Arctic ground squirrel 
69,Asian elephant  
27,Baboon   
19,Big brown bat 
30.4,Brazilian tapir  
28,Cat   
50,Chimpanzee   
7,Chinchilla   
30,Cow   
-999,Desert hedgehog  
40,Donkey   
3.5,Eastern American mole 
50,Echidna   
6,European hedgehog  
10.4,Galago   
34,Genet   
7,Giant armadillo  
28,Giraffe   
20,Goat   
3.9,Golden hamster  
39.3,Gorilla   
41,Gray seal  
16.2,Gray wolf  
9,Ground squirrel  
7.6,Guinea pig  
46,Horse   
22.4,Jaguar   
16.3,Kangaroo   
2.6,Lesser short-tailed shrew 
24,Little brown bat 
100,Man   
-999,Mole rat  
-999,Mountain beaver  
3.2,Mouse   
2,Musk shrew  
5,N. American opossum 
6.5,Nine-banded armadillo  
23.6,Okapi   
12,Owl monkey  
20.2,Patas monkey  
13,Phanlanger   
27,Pig   
18,Rabbit   
13.7,Raccoon   
4.7,Rat   
9.8,Red fox  
29,Rhesus monkey  
7,Rock hyrax (Hetero. b)
6,Rock hyrax (Procavia hab)
17,Roe deer  
20,Sheep   
12.7,Slow loris  
3.5,Star nosed mole 
4.5,Tenrec   
7.5,Tree hyrax  
2.3,Tree shrew  
24,Vervet   
3,Water opossum  
13,Yellow-bellied marmot  
